date,segment,sales
8/12/2013,Consumer,182.3
10/7/2013,Consumer,90.096
9/6/2014,Home Office,188.4
27-10-2014,Consumer,356.85
23-11-2011,Consumer,583.02
15-06-2013,Corporate,136.89
8/11/2014,Consumer,239.598
15-02-2011,Consumer,272.673
7/5/2014,Home Office,346.5882
15-01-2011,Consumer,51.3774
23-06-2011,Corporate,117.03
24-07-2012,Consumer,118.8
7/5/2012,Home Office,540.288
12/8/2013,Consumer,163.5
9/11/2011,Consumer,92.52
29-01-2014,Consumer,330.27
19-08-2014,Consumer,170.46
22-03-2014,Consumer,105.45
6/8/2014,Consumer,502.578
15-11-2012,Consumer,124.3755
20-12-2013,Consumer,159.68
12/6/2013,Consumer,274.74
13-09-2011,Consumer,270.96
16-12-2013,Consumer,76.707
26-05-2011,Consumer,159.192
29-08-2012,Consumer,254.88
28-11-2014,Corporate,114.87
12/12/2012,Corporate,244.23
18-02-2014,Consumer,127.89
24-05-2013,Corporate,287.94
4/7/2014,Corporate,273.896
7/8/2014,Home Office,227.88
12/12/2013,Corporate,73.536
6/1/2012,Consumer,96
29-06-2011,Consumer,185.92
20-11-2012,Consumer,248.58
14-01-2014,Corporate,371.952
24-12-2012,Consumer,176.43
8/5/2012,Home Office,398.52
21-07-2014,Corporate,182.94
26-11-2013,Home Office,364.92
31-07-2012,Home Office,130.52
2/10/2014,Consumer,540.82
4/6/2014,Corporate,333.072
17-07-2013,Consumer,143.982
11/11/2013,Consumer,279.944
22-07-2014,Home Office,210.564
31-07-2014,Consumer,287.28
28-01-2014,Consumer,107.982
17-07-2012,Corporate,231.92
23-07-2014,Consumer,58.32
10/3/2012,Corporate,252.828
24-09-2012,Home Office,202.56
6/7/2011,Consumer,108.48
27-02-2013,Corporate,152.064
23-05-2014,Consumer,158.76
23-12-2014,Consumer,162.54
28-10-2012,Consumer,168.03
14-09-2011,Home Office,88.56
27-11-2014,Consumer,240.336
10/7/2012,Home Office,128.736
24-09-2013,Corporate,368.352
21-07-2011,Consumer,127.725
11/11/2013,Corporate,419.31
9/12/2011,Consumer,214.65
20-06-2011,Home Office,358.16
13-06-2011,Consumer,271.08
22-11-2014,Consumer,140.535
12/8/2011,Home Office,99.84
9/8/2014,Consumer,306.78
3/10/2013,Home Office,381.96
27-07-2013,Consumer,360.24
20-08-2012,Home Office,139.5
27-09-2012,Consumer,239.04
17-09-2014,Consumer,255.84
12/3/2014,Consumer,449.91
12/7/2012,Consumer,474.444
27-09-2013,Consumer,116.937
27-10-2014,Consumer,212.208
29-12-2014,Consumer,189.36
23-12-2014,Home Office,341.523
15-03-2012,Consumer,282.0672
20-06-2011,Consumer,201.584
24-02-2014,Corporate,90.3
17-03-2014,Home Office,145.89
20-04-2013,Consumer,930
29-08-2012,Consumer,284.25
30-01-2013,Consumer,207.6
31-10-2011,Consumer,131.76
13-08-2014,Consumer,192.16
25-05-2012,Consumer,194.784
11/5/2013,Corporate,273.3
1/10/2014,Consumer,247.32
20-08-2014,Home Office,418.6188
20-11-2012,Consumer,290.352
26-09-2013,Home Office,292.8
31-10-2013,Corporate,103.122
13-02-2012,Corporate,350.58
10/7/2014,Home Office,278.9
27-09-2013,Consumer,189.621
26-05-2011,Corporate,201.584
26-12-2012,Home Office,683.6
30-11-2014,Consumer,95.424
23-05-2012,Consumer,323.46
26-07-2011,Consumer,194.472
3/12/2012,Consumer,150.48
25-09-2012,Consumer,105.48
14-04-2011,Consumer,105.6
14-06-2013,Home Office,198.396
6/10/2014,Corporate,755.0946
23-04-2013,Corporate,191.205
14-05-2011,Corporate,310.88
8/1/2013,Consumer,86.04
19-08-2014,Consumer,345.24
24-10-2013,Consumer,128.52
20-01-2011,Consumer,140.91
27-11-2014,Corporate,83.6
21-12-2011,Consumer,84.34
10/10/2013,Consumer,289.068
4/8/2014,Consumer,187.936
30-09-2014,Home Office,138.567
14-06-2013,Consumer,278.64
27-08-2013,Consumer,479.97
26-09-2014,Consumer,288.36
13-03-2012,Home Office,344.64
26-09-2012,Consumer,87.6
27-12-2011,Consumer,811.944
19-07-2012,Consumer,466.956
1/7/2013,Home Office,183.75
30-05-2012,Consumer,381.591
1/6/2012,Home Office,210.112
8/11/2012,Consumer,146.61
11/2/2014,Consumer,68.175
25-04-2013,Corporate,240.912
4/6/2013,Consumer,411.4
7/11/2013,Consumer,243
3/6/2013,Corporate,148.59
3/9/2012,Consumer,178.776
10/3/2014,Consumer,359.85
30-12-2011,Consumer,85.23
25-12-2013,Consumer,96.66
17-12-2013,Consumer,142.47
7/8/2013,Consumer,199.26
11/10/2014,Consumer,215.73
16-06-2014,Consumer,91.665
20-05-2013,Consumer,242.9
16-07-2012,Corporate,266.4
4/7/2012,Corporate,223.104
4/9/2014,Consumer,293.76
9/10/2013,Consumer,394.2
19-05-2014,Home Office,148.68
22-04-2014,Consumer,99.96
30-06-2014,Consumer,59.28
8/3/2011,Corporate,954.225
3/11/2011,Consumer,391.2
11/9/2014,Consumer,192.6
4/5/2011,Consumer,187.68
21-11-2013,Consumer,79.59
5/7/2012,Consumer,164.64
21-07-2011,Corporate,272.848
7/11/2014,Consumer,195.72
14-03-2014,Home Office,58.8
12/3/2011,Corporate,272.76
25-08-2011,Home Office,1341.63
8/11/2012,Consumer,263.67
27-10-2012,Corporate,118.95
16-11-2012,Home Office,185.58
11/6/2013,Consumer,224.82
7/6/2013,Consumer,277.92
6/9/2011,Consumer,318.03
15-11-2012,Consumer,148.32
7/5/2013,Corporate,56.3736
15-09-2014,Consumer,113.372
20-09-2013,Consumer,382.21404
1/7/2012,Corporate,379.8
18-05-2011,Home Office,509.52
4/9/2012,Consumer,206.4
30-11-2011,Consumer,87.03
22-08-2012,Consumer,259.605
27-12-2013,Corporate,302.384
8/12/2012,Corporate,86.562
26-11-2014,Consumer,64
20-11-2014,Consumer,98.1
25-11-2013,Corporate,260.415
19-06-2014,Home Office,340.83
4/10/2012,Corporate,392.94
24-11-2012,Consumer,166.71
23-05-2014,Corporate,242.1
15-09-2013,Consumer,110.88
21-06-2011,Consumer,284.82
27-11-2012,Home Office,154.9
24-01-2013,Consumer,76.14
14-11-2012,Corporate,288.192
15-04-2011,Home Office,106.96
13-02-2013,Consumer,202.38
30-06-2011,Consumer,202.56
25-06-2011,Consumer,211.38104
23-09-2011,Corporate,216.3
15-11-2011,Consumer,208.44
18-05-2013,Consumer,248.08284
6/9/2012,Home Office,133.76
4/8/2013,Consumer,321.9426
27-05-2013,Consumer,128.76
27-08-2013,Consumer,110.5062
24-05-2011,Consumer,170.04
13-11-2013,Consumer,292.64
12/5/2012,Consumer,108.15
22-11-2012,Consumer,92.88
24-12-2012,Consumer,166.68
16-08-2014,Corporate,1954.17
4/9/2014,Corporate,659.178
2/8/2012,Corporate,211.5
6/11/2014,Consumer,260.34
30-09-2014,Corporate,145.05
10/12/2013,Consumer,248.64
8/7/2011,Consumer,213.84
4/9/2013,Consumer,526.26
15-06-2014,Consumer,394.98
15-03-2012,Corporate,108.24
17-10-2011,Consumer,185.0175
21-01-2011,Consumer,272.94
17-07-2013,Consumer,348.82096
21-07-2014,Corporate,242.944
27-12-2011,Consumer,160.356
15-07-2011,Consumer,311.796
6/12/2014,Corporate,378.81
18-06-2012,Consumer,450.04
11/9/2014,Consumer,175.8
22-11-2012,Home Office,203.76
31-05-2013,Consumer,71.19
28-01-2014,Home Office,181.44
22-07-2013,Consumer,129.8871
9/8/2014,Corporate,289.35
26-03-2014,Consumer,470.376
26-07-2013,Corporate,243.88
5/7/2013,Home Office,177.48
2/9/2013,Consumer,117.12
5/1/2011,Home Office,207.12
6/4/2014,Consumer,71.46
30-04-2014,Consumer,276.885
18-07-2014,Home Office,143.1
8/1/2013,Consumer,66.32
20-11-2014,Consumer,291.924
30-07-2012,Consumer,186.66
14-08-2012,Consumer,190.89
16-12-2011,Consumer,599.16
24-03-2012,Consumer,111.051
26-09-2014,Consumer,177.55
31-08-2012,Home Office,555.96
19-11-2014,Consumer,213.12
15-09-2014,Corporate,162.18
22-06-2012,Consumer,159.68
9/8/2014,Consumer,180.7
26-09-2014,Consumer,129.12
31-05-2012,Home Office,137.295
11/11/2013,Consumer,174.204
6/11/2014,Corporate,369.99
26-12-2013,Consumer,400.32
9/8/2011,Corporate,178.384
7/2/2014,Consumer,240.784
8/4/2014,Home Office,219.184
9/4/2013,Corporate,172.62
27-02-2014,Corporate,246.42
15-05-2012,Corporate,210.288
5/3/2012,Consumer,117.666
10/7/2013,Consumer,209.52
29-12-2014,Corporate,113.372
23-06-2014,Consumer,178.88
7/5/2014,Consumer,222.615
10/5/2012,Consumer,769.65
28-08-2014,Corporate,409.95
4/12/2013,Home Office,294.57
1/11/2012,Consumer,118.95
2/9/2014,Corporate,415.152
13-10-2014,Consumer,122.94
13-05-2014,Corporate,285.48
26-12-2012,Home Office,131.811
2/5/2013,Consumer,109.92
29-05-2014,Corporate,247.44
20-09-2011,Consumer,317.37
25-07-2013,Corporate,84
25-07-2013,Consumer,169.9
22-03-2013,Home Office,151.65
1/5/2014,Consumer,47.52
28-07-2011,Consumer,273.18
17-01-2014,Consumer,418.05
11/10/2013,Corporate,110.28
21-09-2012,Consumer,199.74
30-10-2014,Consumer,338.4
28-12-2014,Consumer,135.45
11/3/2014,Consumer,166.68
28-04-2014,Corporate,220.2656
4/6/2014,Corporate,384.768
12/11/2014,Consumer,88.92
25-11-2014,Home Office,197.94
28-11-2013,Consumer,64.776
11/1/2011,Consumer,102.72
9/7/2014,Consumer,75.18
18-08-2012,Home Office,122.37
2/5/2011,Home Office,73.206
30-05-2013,Consumer,164.7
22-05-2013,Corporate,212.2875
4/12/2013,Home Office,199.665
22-03-2011,Consumer,58.17
31-05-2014,Consumer,204.6664
15-02-2013,Consumer,98.304
4/12/2013,Home Office,191.85552
15-06-2013,Corporate,368.91
15-12-2011,Home Office,212.1
6/12/2014,Corporate,254.9
14-12-2011,Consumer,136.53
18-06-2012,Consumer,222.66
7/7/2014,Corporate,130.704
9/3/2012,Consumer,151.992
26-08-2014,Home Office,168.68
22-12-2014,Home Office,278.7
30-11-2012,Consumer,717.4764
16-11-2014,Corporate,529.29
10/10/2013,Home Office,169.568
15-07-2014,Consumer,140.97
24-01-2013,Consumer,175.32
2/8/2014,Consumer,336.36
27-08-2014,Home Office,290.3502
2/10/2012,Home Office,115.287
19-10-2011,Consumer,340.08
2/10/2013,Consumer,330.588
1/3/2013,Home Office,325.26
7/8/2012,Corporate,77.58
17-03-2014,Consumer,159.984
6/12/2013,Home Office,153.024
22-12-2014,Consumer,76.248
16-08-2014,Corporate,520.776
20-10-2011,Consumer,211.96
26-12-2011,Corporate,78.6
9/10/2012,Consumer,269.91
15-08-2011,Consumer,152.91
19-02-2014,Consumer,102.9
21-10-2014,Consumer,113.68
26-06-2013,Consumer,111.12
11/6/2012,Consumer,341.475
18-04-2012,Consumer,250.992
16-07-2014,Consumer,219.9
10/5/2012,Consumer,166.68
3/8/2011,Corporate,149.1
17-09-2012,Consumer,553.5
18-01-2012,Consumer,161.532
5/2/2014,Consumer,51.156
12/3/2014,Corporate,239.96
18-11-2014,Consumer,144.18
24-03-2014,Consumer,143.728
10/5/2014,Home Office,104.28
1/7/2013,Consumer,278.88
15-08-2013,Corporate,208.572
11/9/2013,Corporate,180.252
30-11-2011,Consumer,101.1936
23-03-2011,Consumer,164.088
12/12/2013,Corporate,343.728
26-08-2014,Home Office,224.3504
22-08-2011,Consumer,137.2
10/5/2014,Consumer,130.32
19-06-2014,Consumer,875.16
1/12/2012,Consumer,344.16
19-10-2012,Consumer,444.51
20-11-2013,Consumer,363.825
1/4/2011,Corporate,138.696
11/6/2011,Consumer,231.72
11/9/2014,Consumer,308.46
28-12-2013,Corporate,235.3812
9/9/2014,Home Office,158.376
14-08-2012,Consumer,189.63
8/5/2012,Consumer,512.91
3/7/2013,Consumer,265.74
14-06-2013,Consumer,215.04
4/12/2014,Corporate,192
22-11-2013,Corporate,293.58
6/2/2014,Consumer,207.12
26-12-2013,Home Office,357.6
15-04-2014,Home Office,74.56
26-04-2014,Corporate,326.88
1/9/2012,Home Office,140.94
16-06-2012,Consumer,137.736
22-08-2014,Consumer,118.44
17-01-2012,Corporate,262.74
13-10-2013,Home Office,187.36
7/8/2013,Corporate,98.08
4/7/2011,Consumer,248.9004
30-10-2014,Corporate,179.46
3/9/2013,Consumer,215.976
12/8/2014,Corporate,149.28
2/3/2014,Home Office,114.81
27-10-2014,Home Office,67.78928
20-04-2011,Consumer,238.455
25-09-2012,Consumer,520.38
26-07-2013,Consumer,241.568
5/9/2013,Consumer,113.94
26-04-2013,Corporate,275.58
12/9/2011,Corporate,439.92
22-08-2013,Consumer,496.332
8/7/2013,Consumer,215.65
27-06-2013,Home Office,171.04
30-08-2011,Consumer,290.88
21-10-2011,Corporate,292.68
8/9/2012,Corporate,112.698
13-08-2013,Consumer,326.64
27-12-2011,Consumer,86.58
8/3/2014,Corporate,99
26-11-2012,Consumer,150.528
26-08-2013,Corporate,159.66
11/9/2011,Home Office,138.06
29-04-2011,Consumer,243.7
14-04-2011,Consumer,168.63
18-12-2012,Consumer,102.9
6/2/2013,Consumer,203.904
15-06-2013,Corporate,337.176
15-12-2011,Consumer,303.84
24-03-2014,Consumer,291.024
10/9/2013,Consumer,304.44
15-08-2013,Corporate,247.188
2/10/2014,Home Office,215.1
27-06-2012,Consumer,117.408
20-12-2013,Consumer,248.52
2/6/2014,Home Office,113.52
10/1/2013,Consumer,169.38
9/5/2013,Corporate,211.96
9/9/2014,Consumer,258.528
2/4/2014,Corporate,127.95
19-08-2014,Consumer,259.75944
21-09-2012,Consumer,124.875
30-08-2013,Consumer,45.69
29-10-2012,Home Office,121.428
21-09-2013,Consumer,79.712
25-09-2012,Consumer,417.42
12/3/2014,Consumer,123.42
18-08-2014,Consumer,459.3
18-08-2014,Consumer,428.22
18-07-2013,Consumer,265.17
20-03-2014,Consumer,199.96
13-11-2013,Consumer,200.4
10/9/2013,Corporate,207.69736
10/11/2012,Consumer,161.4
10/1/2013,Consumer,142.74
28-08-2012,Home Office,48.816
28-06-2012,Corporate,482.94
21-01-2012,Home Office,174.6
4/7/2013,Home Office,139.86
3/9/2014,Corporate,197.97
26-11-2014,Consumer,245.82
1/11/2013,Home Office,159.732
14-11-2012,Consumer,275.072
20-05-2014,Consumer,532.8
3/1/2012,Consumer,207.33
25-11-2013,Corporate,193.83
15-12-2012,Home Office,89.28
15-10-2011,Corporate,251.16
4/2/2011,Corporate,115.44
29-04-2013,Consumer,132.3
26-08-2014,Consumer,199.056
1/5/2014,Consumer,373.896
10/10/2013,Home Office,345.735
6/11/2014,Consumer,317.574
19-11-2013,Consumer,99.144
27-06-2013,Consumer,135.95
16-09-2014,Consumer,117.96
19-12-2014,Consumer,327.816
4/11/2014,Consumer,170.424
3/7/2012,Home Office,238.512
4/9/2014,Home Office,279.68
8/10/2013,Consumer,264.816
26-04-2012,Consumer,206.16
22-07-2014,Consumer,271.96
18-07-2012,Consumer,135.99
19-05-2014,Consumer,172.5
12/8/2011,Corporate,289.98
24-04-2012,Consumer,159.296
19-05-2014,Home Office,198.96
26-03-2013,Corporate,93.2502
8/4/2014,Home Office,258.072
2/9/2013,Consumer,376.74
10/2/2012,Consumer,185.28
24-07-2014,Consumer,271.136
14-11-2013,Home Office,122.496
17-04-2014,Corporate,192.78
4/12/2014,Home Office,57.93
22-10-2012,Corporate,446.4
13-08-2014,Corporate,1779.9
23-12-2014,Consumer,154.68
7/2/2011,Consumer,278.16
10/9/2014,Corporate,268.1748
9/9/2013,Home Office,67.136
26-11-2013,Consumer,165.7
16-04-2014,Corporate,423.31168
22-02-2011,Consumer,102.78
6/4/2013,Consumer,175.92
8/8/2013,Home Office,114
21-04-2014,Consumer,301.89
7/6/2013,Consumer,460.356
1/8/2013,Consumer,635.96
4/1/2012,Corporate,192.22
13-08-2011,Consumer,276.96
27-09-2014,Corporate,135.576
26-09-2013,Consumer,300.32
14-10-2013,Corporate,146.736
14-02-2011,Home Office,191.6
29-06-2013,Consumer,103.518
1/10/2012,Home Office,115.9344
26-03-2013,Consumer,311.76
29-05-2014,Corporate,271.968
21-07-2014,Corporate,313.44
11/11/2011,Consumer,256.16664
23-08-2012,Home Office,171.288
15-06-2013,Corporate,99.66
8/5/2014,Consumer,322.974
7/9/2012,Consumer,366.84
14-06-2014,Consumer,48.68
5/11/2013,Corporate,123.75
18-05-2011,Consumer,192.6324
30-01-2012,Home Office,123.42
16-04-2013,Home Office,189.588
7/2/2013,Consumer,100
4/9/2014,Consumer,124.53
25-02-2011,Consumer,57.06
3/7/2013,Consumer,110.25
13-07-2012,Home Office,315.54
4/5/2011,Consumer,82.044
1/6/2012,Corporate,226.53
29-08-2011,Consumer,310.554
25-05-2012,Corporate,97.68
5/3/2013,Consumer,192.84
6/12/2013,Home Office,130.62
25-12-2012,Home Office,389.04
30-11-2013,Consumer,226.8735
26-11-2014,Consumer,645.966
14-05-2014,Corporate,188.37
9/7/2014,Corporate,174.95
28-09-2011,Consumer,301.77
25-09-2012,Consumer,230.256
22-08-2012,Corporate,545.94
15-02-2011,Corporate,238.62
30-10-2014,Corporate,163.2
18-11-2013,Consumer,284.8274
23-09-2014,Home Office,92.64
16-09-2013,Home Office,249.93
26-08-2014,Home Office,143.172
11/11/2014,Corporate,261.54
1/8/2013,Consumer,388.92
30-01-2014,Corporate,124.32
3/10/2014,Home Office,112.12
10/10/2012,Consumer,312.51
28-04-2011,Consumer,177.52
30-11-2012,Home Office,350.244
19-02-2012,Consumer,175.8
24-02-2014,Home Office,157.872
27-06-2014,Consumer,358.2
31-01-2013,Consumer,130.56
28-11-2012,Consumer,221.568
10/2/2014,Corporate,450.603
10/11/2012,Corporate,102.9
25-09-2014,Home Office,642
14-03-2014,Home Office,89.768
13-05-2011,Consumer,256.56
19-12-2014,Home Office,168.24
11/6/2013,Consumer,546.56
26-12-2012,Corporate,246.78
30-07-2014,Corporate,245.94
4/6/2013,Home Office,258.9
5/2/2013,Home Office,72.48
11/1/2014,Consumer,349.32
24-01-2011,Consumer,420.42
6/6/2011,Corporate,185.28
11/5/2012,Corporate,214.8
24-02-2014,Consumer,187.74376
28-08-2014,Corporate,123.06
8/10/2014,Consumer,225.08
16-09-2014,Corporate,107.4
7/5/2011,Consumer,82.38
10/5/2011,Consumer,316.8
19-10-2012,Corporate,374.2
5/9/2013,Consumer,249.21
12/3/2013,Home Office,481.32
19-12-2013,Corporate,161.6
24-03-2014,Consumer,13999.96
6/4/2014,Consumer,310.716
14-11-2014,Consumer,121.8855
29-12-2014,Consumer,214.515
18-09-2012,Consumer,443.92
15-03-2014,Consumer,263.73
24-09-2013,Consumer,316.59
31-10-2013,Corporate,90.6
13-08-2013,Consumer,173.25
9/7/2014,Consumer,177.876
30-06-2014,Corporate,638.82
9/4/2013,Home Office,333.66
28-07-2014,Home Office,284.76
7/5/2013,Consumer,225.6
28-08-2014,Consumer,152.28
25-09-2013,Consumer,169.8
4/10/2013,Corporate,95.04
17-09-2013,Consumer,84.132
19-07-2014,Home Office,218.3868
8/12/2014,Consumer,127.984
8/8/2014,Consumer,118.16
13-04-2013,Consumer,137.6
15-02-2013,Corporate,70.755
7/10/2014,Consumer,170.28
12/7/2011,Consumer,594.86
27-08-2014,Corporate,340.992
16-11-2013,Consumer,642.72
16-09-2012,Corporate,175.68
28-03-2013,Corporate,323.4
27-07-2013,Corporate,248.022
17-08-2012,Consumer,855.45
11/7/2011,Corporate,177.2
23-11-2012,Corporate,294.6
1/10/2013,Home Office,102.96
26-08-2014,Consumer,130.98
21-11-2011,Consumer,73.944
21-06-2012,Consumer,286.44
8/6/2012,Consumer,97.44
10/6/2013,Consumer,478.764
28-05-2013,Consumer,537.6
26-01-2011,Consumer,318.24
7/6/2011,Home Office,305.928
17-12-2014,Corporate,68.48
4/12/2014,Consumer,111.12
12/3/2013,Consumer,245.88
21-02-2011,Corporate,149.58
11/7/2013,Consumer,321.492
6/8/2012,Corporate,369.1992
2/10/2014,Home Office,257.76
27-09-2011,Home Office,66.99
20-09-2014,Corporate,101.88
1/5/2014,Home Office,85.185
14-11-2014,Consumer,241.434
2/8/2012,Consumer,249.264
26-08-2014,Home Office,60.552
20-04-2012,Corporate,287.97
14-04-2014,Consumer,191.7
28-01-2014,Corporate,101.04
24-10-2014,Consumer,236.34
5/3/2013,Corporate,283.2
23-11-2012,Consumer,91.92
13-12-2011,Consumer,122.325
3/9/2014,Home Office,147.92
13-11-2013,Corporate,98.46
19-12-2011,Home Office,396.72496
29-06-2012,Corporate,101.04
22-04-2011,Consumer,154.392
13-06-2013,Corporate,278.28
8/11/2014,Corporate,147.582
24-02-2011,Corporate,94.9935
10/9/2012,Corporate,179.886
13-09-2013,Home Office,82.98
16-04-2014,Consumer,118.62
22-03-2014,Consumer,181.12
29-08-2014,Consumer,92.76
16-08-2011,Corporate,158
26-04-2012,Consumer,522.72
6/11/2011,Home Office,43.92
30-06-2011,Home Office,67.89
20-03-2014,Consumer,245.13
1/6/2014,Corporate,253.32
18-04-2012,Consumer,260.415
27-12-2013,Consumer,163.62
4/3/2013,Corporate,274.44
10/11/2011,Home Office,205.44
19-02-2014,Consumer,154.3752
8/12/2012,Consumer,270.96
29-10-2014,Consumer,200.44
14-09-2011,Corporate,382.4
29-05-2014,Home Office,84.96
13-02-2014,Consumer,274.4658
1/12/2014,Consumer,351.9
29-04-2012,Corporate,103.32
24-08-2013,Home Office,96.81
21-12-2011,Corporate,122.67
13-11-2014,Home Office,143.58
15-12-2012,Home Office,182.3
15-09-2014,Consumer,283.49984
13-03-2013,Home Office,126.27
20-09-2013,Corporate,166.617
2/8/2014,Consumer,137.25
24-04-2014,Consumer,263.412
10/9/2014,Home Office,333.84
2/10/2014,Home Office,149.04
7/6/2013,Corporate,69.03
6/3/2014,Consumer,373.68
24-03-2014,Corporate,386.64
14-05-2013,Home Office,214.3791
25-11-2014,Corporate,327.84
18-11-2014,Corporate,206.604
12/6/2013,Consumer,151.929
6/1/2014,Consumer,246.15
8/5/2014,Corporate,176.76
16-09-2014,Consumer,242.48
4/6/2013,Home Office,76.11
6/8/2014,Consumer,355.56
1/4/2014,Consumer,132.352
24-06-2014,Home Office,221.2
8/6/2011,Corporate,288.684
2/6/2014,Corporate,759.66
26-11-2013,Home Office,228.204
11/11/2012,Corporate,122.37
21-12-2012,Corporate,314.91876
17-10-2013,Corporate,292.734
15-08-2013,Consumer,462.96
26-12-2013,Consumer,249.72
17-10-2012,Home Office,223.47
12/7/2012,Consumer,66.42
28-10-2011,Consumer,396.78
20-11-2012,Home Office,119.04
12/6/2012,Consumer,244.14
15-10-2013,Home Office,186.36
17-03-2011,Consumer,86.96
8/5/2013,Consumer,84.4608
5/9/2013,Consumer,279.95
20-11-2014,Consumer,412.695
17-12-2014,Consumer,143.532
26-08-2014,Home Office,100.08
16-11-2014,Consumer,339.136
2/8/2012,Home Office,199.98
28-05-2014,Consumer,141.6
3/5/2013,Consumer,90.64
28-12-2011,Corporate,269.12
2/5/2014,Consumer,448.6344
15-06-2012,Corporate,225.576
19-04-2013,Corporate,344.372
20-08-2012,Home Office,137.16
28-07-2014,Consumer,194.848
14-01-2012,Consumer,82.98
9/2/2013,Corporate,1272.3
24-12-2012,Consumer,268.2
3/10/2013,Consumer,153.6
12/11/2012,Home Office,175.35
27-09-2011,Corporate,278.07
17-06-2014,Consumer,301.96
22-11-2013,Home Office,113.568
31-03-2014,Consumer,122.88
24-02-2014,Consumer,83.46
6/4/2014,Consumer,205.8
12/6/2013,Corporate,144.99
3/3/2011,Consumer,333.66
21-05-2014,Home Office,236.7
15-03-2012,Consumer,254.34
19-12-2014,Consumer,138.96
22-12-2012,Consumer,133.893
21-09-2013,Consumer,253.746
24-10-2014,Corporate,146.5425
29-08-2012,Home Office,131.98
27-08-2013,Corporate,146.688
9/9/2013,Consumer,373.98
2/10/2012,Consumer,118.62
29-12-2011,Home Office,205.44
3/8/2012,Consumer,167.805
31-05-2013,Consumer,96
17-06-2014,Consumer,327.3
28-08-2013,Corporate,170.94
2/12/2014,Consumer,141.96
26-01-2011,Home Office,256.14
19-11-2014,Consumer,212.52
12/7/2012,Consumer,383.607
26-08-2012,Consumer,291.792
2/9/2011,Consumer,405.92
24-06-2014,Home Office,262.95
1/5/2014,Consumer,767.34
26-03-2014,Consumer,100.0611
5/12/2014,Home Office,363.75
6/8/2012,Corporate,193.2
28-09-2012,Consumer,113
2/3/2012,Corporate,131.301
8/8/2014,Corporate,292.11
3/1/2013,Consumer,83.4
14-06-2013,Home Office,242.16
24-07-2013,Consumer,274.8
7/9/2012,Corporate,225.612
9/4/2014,Consumer,230.526
12/3/2014,Consumer,61.2
2/8/2011,Consumer,157.68
28-06-2013,Corporate,116.04
8/9/2014,Corporate,289.71
13-11-2012,Corporate,113.4
31-05-2012,Consumer,146.367
3/12/2013,Home Office,510.12
21-02-2014,Consumer,246.48
29-06-2013,Consumer,121.96
24-07-2013,Consumer,115.136
1/2/2011,Consumer,309.6
9/11/2012,Consumer,147
19-05-2011,Corporate,238.32
15-05-2014,Corporate,89.97
30-12-2011,Consumer,648.24
10/11/2012,Corporate,328.185
22-10-2013,Consumer,127.656
18-11-2014,Home Office,287.58
17-04-2012,Home Office,93.06
18-06-2013,Consumer,213.444
30-09-2011,Home Office,143.88
3/12/2012,Corporate,207.432
3/4/2014,Consumer,300.402
25-04-2014,Home Office,297.6
7/9/2011,Home Office,200.795
3/6/2013,Corporate,55.74
23-06-2014,Corporate,132.972
19-08-2011,Corporate,242.55
24-03-2014,Home Office,211.84
1/10/2013,Consumer,139.44
6/2/2012,Consumer,59.184
13-11-2012,Corporate,100.5
14-05-2013,Consumer,147.84
20-09-2011,Consumer,258.54
15-09-2011,Consumer,281.34
18-04-2011,Corporate,241.65
21-06-2013,Home Office,241.893
8/7/2014,Corporate,99.6
16-10-2014,Corporate,346.44
5/11/2012,Corporate,272.7
12/7/2013,Home Office,208.53
23-12-2014,Corporate,300.72
22-01-2013,Consumer,99
16-03-2011,Consumer,49.5
19-04-2013,Corporate,140.9922
23-11-2012,Corporate,335.52
13-09-2013,Consumer,92.64
24-06-2014,Home Office,218.79
24-07-2014,Consumer,241.968
16-05-2014,Home Office,235.24
18-04-2014,Corporate,95.28
24-12-2014,Consumer,262.74
15-12-2011,Consumer,125.82
13-06-2011,Consumer,218.76
9/10/2014,Corporate,239.96
7/11/2011,Corporate,50.88
20-05-2013,Home Office,305.235
2/4/2014,Corporate,482.664
14-08-2012,Corporate,511.68
15-05-2014,Corporate,138.18
23-06-2011,Corporate,142.623
6/8/2012,Consumer,103.59
19-09-2011,Consumer,68.72
20-07-2011,Consumer,78.75
19-03-2013,Corporate,595.6578
22-08-2014,Home Office,277.4
10/1/2013,Consumer,126.15
29-06-2012,Consumer,344.034
26-12-2014,Consumer,125.064
25-08-2011,Home Office,429.48
1/3/2011,Home Office,115.74
6/11/2013,Corporate,121.776
27-01-2013,Home Office,518.88
29-10-2012,Home Office,56.916
14-08-2014,Consumer,150
25-09-2012,Corporate,307.136
25-08-2014,Corporate,75.72
24-02-2011,Consumer,612.48
27-06-2014,Consumer,272.94
15-09-2014,Corporate,62.13
13-10-2014,Corporate,129.519
15-01-2014,Consumer,260.28
2/9/2014,Corporate,169.047
10/11/2014,Home Office,96.53
1/4/2013,Consumer,327.996
1/6/2012,Consumer,100.44
4/8/2011,Consumer,282.8
17-09-2012,Consumer,128.34
3/12/2014,Consumer,94.35
25-11-2013,Consumer,309.042
17-09-2013,Consumer,167.28
20-12-2011,Corporate,88.86
19-07-2013,Consumer,50.34
4/10/2011,Home Office,224.37648
28-11-2013,Consumer,634.23
15-11-2012,Corporate,250.272
14-03-2014,Home Office,140.736
